Sequence,Customer_ID,Occu,Salary,total_asset,Loan_Type,Loan_Amount,Amount_Paid,Pay_now,Pay_now_total,Num_Missed_Pay,Total_Installments
3164,NEKOR031461048,Lawyer/Accountant,50341,3598471,Personal loan,32145,5357,5,26785,5,6
3165,NEKOR412204630,Business Owner/Personal Business,56992,498337,Vehicle loan,43448,1810,8,14480,5,24
3166,NEKOR221609417,Street Vendor,5485,3152108,Personal loan,4407,489,9,4401,0,9
3167,NEKOR914249549,Tour Guide,81290,2152889,Personal loan,38658,2147,9,19323,10,18
3168,NEKOR707875332,Business Owner/Personal Business,29556,7921991,Personal loan,6812,567,10,5670,3,12
3169,NEKOR235023033,Street Vendor,3522,1650479,Occupational Loans,3107,86,32,2752,10,36
3170,NEKOR967535592,Charity Officer,3183,542459,Personal loan,3064,255,7,1785,5,12
3171,NEKOR006698361,Agent/Insurance Broker,8529,394925,Occupational Loans,3615,301,4,1204,8,12
3172,NEKOR079504650,Agent/Insurance Broker,5683,435202,Occupational Loans,3774,629,4,2516,7,6
3173,NEKOR620233473,Retired,12807,5893181,Vehicle loan,7903,219,29,6351,6,36
3174,NEKOR133269815,Politician/Family Member or Close Asscociates,9586,3527947,Occupational Loans,8125,902,4,3608,9,9
3175,NEKOR932596098,Retired,16225,2496738,Occupational Loans,8643,240,13,3120,2,36
3176,NEKOR740301819,Teacher/Instructor,14575,4288643,Vehicle loan,8733,727,4,2908,3,12
3177,NEKOR367019303,Student,30861,121825,Vehicle loan,8691,2897,3,8691,1,3
3178,NEKOR869526057,Politician/Family Member or Close Asscociates,20045,5415381,Personal loan,18059,501,35,17535,8,36
3179,NEKOR564820207,Tour Guide,21293,1745285,Occupational Loans,12942,1078,3,3234,6,12
3180,NEKOR406368594,Lawyer/Accountant,52585,7474774,Occupational Loans,5168,143,30,4290,9,36
3181,NEKOR232102363,Retired,10502,7695918,Occupational Loans,9631,3210,3,9630,8,3
3182,NEKOR823705483,Docter/Nurse/Pharmacist,49386,1818793,Occupational Loans,21668,1203,6,7218,4,18
3183,NEKOR793622434,Househusband/Housewife/Unemployed,8999,27445,Vehicle loan,5719,238,10,2380,0,24
3184,NEKOR929426819,Teacher/Instructor,29837,337489,Personal loan,23970,3995,5,19975,4,6
3185,NEKOR337742247,Business Owner/Personal Business,342969,9543247,Vehicle loan,199021,16585,6,99510,1,12
3186,NEKOR852786258,Lawyer/Accountant,62861,2735249,Vehicle loan,32958,5493,3,16479,2,6
3187,NEKOR580796208,Tour Guide,4413,4317757,Vehicle loan,3033,168,11,1848,8,18
3188,NEKOR314567352,Lawyer/Accountant,5096,3517530,Personal loan,3377,93,10,930,5,36
3189,NEKOR060931135,Business Owner/Personal Business,204387,1263030,Personal loan,143311,23885,5,119425,3,6
3190,NEKOR658382748,Agent/Insurance Broker,20578,361859,Personal loan,3793,210,7,1470,7,18
3191,NEKOR081417280,Teacher/Instructor,5226,1315633,Vehicle loan,4341,120,35,4200,10,36
3192,NEKOR663519368,Retired,24336,1608446,Occupational Loans,23625,656,27,17712,1,36
3193,NEKOR878360821,Agent/Insurance Broker,8145,418406,Personal loan,6701,744,6,4464,3,9
3194,NEKOR890236223,Lawyer/Accountant,71407,8690509,Personal loan,38936,6489,3,19467,7,6
3195,NEKOR747945608,Politician/Family Member or Close Asscociates,4172,5477354,Vehicle loan,3443,286,6,1716,10,12
3196,NEKOR404573691,Judge/Attorney,67203,4875800,Vehicle loan,22898,3816,3,11448,7,6
3197,NEKOR886592492,Street Vendor,9196,126975,Occupational Loans,6542,545,6,3270,2,12
3198,NEKOR179366440,Politician/Family Member or Close Asscociates,12940,9899648,Vehicle loan,8565,237,16,3792,0,36
3199,NEKOR432527653,Politician/Family Member or Close Asscociates,8916,7687604,Occupational Loans,6863,190,15,2850,0,36
3200,NEKOR309373090,Househusband/Housewife/Unemployed,6694,165596,Vehicle loan,4163,346,3,1038,5,12
3201,NEKOR099031526,Charity Officer,3152,28091,Occupational Loans,3048,84,34,2856,6,36
3202,NEKOR295788961,Student,14197,5525,Occupational Loans,12833,356,30,10680,2,36
3203,NEKOR611098762,Politician/Family Member or Close Asscociates,11929,495015,Personal loan,6900,287,12,3444,6,24
3204,NEKOR814600270,Lawyer/Accountant,14652,6473823,Vehicle loan,9007,1000,4,4000,6,9
3205,NEKOR799445695,Agent/Insurance Broker,18652,355001,Personal loan,15249,635,13,8255,6,24
3206,NEKOR225674491,Employee,24830,48928,Occupational Loans,12603,4201,3,12603,0,3
3207,NEKOR249959966,Police/Military,9984,346260,Occupational Loans,5264,438,10,4380,4,12
3208,NEKOR828347750,Lawyer/Accountant,87617,2597864,Personal loan,12972,360,32,11520,10,36
3209,NEKOR470324955,Other,25634,2779920,Occupational Loans,12487,1387,6,8322,3,9
3210,NEKOR440090499,Judge/Attorney,43153,4280168,Personal loan,42239,7039,3,21117,8,6
3211,NEKOR689863290,Politician/Family Member or Close Asscociates,13471,4528510,Vehicle loan,5546,308,8,2464,7,18
3212,NEKOR341713461,Employee,27742,150286,Personal loan,11578,482,22,10604,3,24
3213,NEKOR863492125,Teacher/Instructor,7983,801232,Occupational Loans,5415,451,3,1353,7,12
3214,NEKOR380936965,Tour Guide,3234,4007934,Occupational Loans,3230,269,9,2421,8,12
3215,NEKOR254686524,Tour Guide,31071,4407066,Personal loan,25186,1399,7,9793,5,18
3216,NEKOR427291198,Business Owner/Personal Business,77414,5452975,Occupational Loans,26020,2168,3,6504,8,12
3217,NEKOR422881443,Other,8064,4448481,Personal loan,7430,309,11,3399,8,24
3218,NEKOR063364560,Employee,12528,188115,Vehicle loan,6173,1028,5,5140,4,6
3219,NEKOR190841853,Other,47148,1538785,Occupational Loans,34250,11416,3,34248,9,3
3220,NEKOR382839610,Other,5910,4597699,Vehicle loan,5282,586,6,3516,10,9
3221,NEKOR744032889,Teacher/Instructor,24139,3623716,Vehicle loan,17543,974,15,14610,10,18
3222,NEKOR421978503,Judge/Attorney,97620,1137200,Occupational Loans,59243,19747,3,59241,10,3
3223,NEKOR394924142,Docter/Nurse/Pharmacist,4300,404373,Occupational Loans,3068,1022,3,3066,3,3
3224,NEKOR036915696,Charity Officer,10880,93296,Occupational Loans,10247,1707,5,8535,2,6
3225,NEKOR568408472,Student,25219,150290,Occupational Loans,25100,4183,4,16732,2,6
3226,NEKOR772142072,Lawyer/Accountant,30972,6528570,Personal loan,15595,649,11,7139,7,24
3227,NEKOR038821051,Charity Officer,4810,487674,Personal loan,4221,469,6,2814,4,9
3228,NEKOR756910914,Judge/Attorney,28372,1773917,Vehicle loan,20623,2291,4,9164,8,9
3229,NEKOR052302441,Business Owner/Personal Business,90398,8958002,Occupational Loans,68277,2844,17,48348,0,24
3230,NEKOR230798689,Politician/Family Member or Close Asscociates,15911,7395923,Occupational Loans,14980,832,12,9984,8,18
3231,NEKOR197651179,Politician/Family Member or Close Asscociates,13390,2024840,Vehicle loan,9303,387,5,1935,2,24
3232,NEKOR730415367,Charity Officer,11896,933226,Vehicle loan,8256,2752,3,8256,9,3
3233,NEKOR270683912,Agent/Insurance Broker,35754,87291,Vehicle loan,18179,3029,5,15145,5,6
3234,NEKOR910498951,Politician/Family Member or Close Asscociates,6367,824682,Personal loan,4992,277,4,1108,2,18
3235,NEKOR533419392,Charity Officer,12885,927917,Personal loan,9855,821,5,4105,2,12
3236,NEKOR604067847,Docter/Nurse/Pharmacist,30162,1659338,Occupational Loans,25359,1056,11,11616,9,24
3237,NEKOR344520382,Other,47767,2688432,Occupational Loans,43439,7239,3,21717,7,6
3238,NEKOR936040725,Househusband/Housewife/Unemployed,8666,163488,Vehicle loan,3636,1212,3,3636,7,3
3239,NEKOR430732763,Employee,38126,158309,Occupational Loans,14466,1607,7,11249,10,9
3240,NEKOR597515186,Other,64392,3858532,Personal loan,21701,7233,3,21699,5,3
3241,NEKOR060360093,Tour Guide,10303,3806091,Vehicle loan,6079,337,18,6066,8,18
3242,NEKOR112384302,Business Owner/Personal Business,308450,2790213,Personal loan,178481,14873,7,104111,0,12
3243,NEKOR475914907,Househusband/Housewife/Unemployed,7477,73187,Occupational Loans,7355,306,6,1836,6,24
3244,NEKOR844611674,Tour Guide,44962,430040,Vehicle loan,35803,5967,5,29835,8,6
3245,NEKOR863428056,Student,24621,48427,Occupational Loans,23388,7796,3,23388,7,3
3246,NEKOR906684822,Business Owner/Personal Business,80794,8186049,Occupational Loans,26064,2896,5,14480,3,9
3247,NEKOR945034857,Street Vendor,40880,1936354,Occupational Loans,5570,928,5,4640,0,6
3248,NEKOR773525487,Street Vendor,63816,907067,Occupational Loans,58796,2449,4,9796,0,24
3249,NEKOR748984382,Lawyer/Accountant,17470,3732271,Occupational Loans,15983,887,3,2661,9,18
3250,NEKOR047228546,Teacher/Instructor,3671,3163629,Occupational Loans,3127,260,9,2340,5,12
3251,NEKOR510516084,Police/Military,10792,705044,Personal loan,10293,285,17,4845,6,36
3252,NEKOR638234314,Street Vendor,24015,3928255,Occupational Loans,11007,611,12,7332,5,18
3253,NEKOR527649658,Househusband/Housewife/Unemployed,4987,64472,Vehicle loan,4314,179,17,3043,6,24
3254,NEKOR380876018,Other,6387,486598,Occupational Loans,4854,202,18,3636,1,24
3255,NEKOR733150378,Retired,10680,4185850,Personal loan,8549,949,8,7592,0,9
3256,NEKOR896945170,Docter/Nurse/Pharmacist,25737,1526136,Vehicle loan,18507,1028,14,14392,2,18
3257,NEKOR807553326,Househusband/Housewife/Unemployed,4784,44811,Vehicle loan,3575,1191,3,3573,7,3
3258,NEKOR995548244,Agent/Insurance Broker,18539,172204,Occupational Loans,10604,3534,3,10602,3,3
3259,NEKOR847908466,Police/Military,20847,1019049,Personal loan,14606,1217,3,3651,1,12
3260,NEKOR120627654,Employee,29280,101088,Personal loan,14969,623,15,9345,4,24
3261,NEKOR418475001,Other,72974,1407927,Vehicle loan,66616,1850,3,5550,5,36
3262,NEKOR076142561,Employee,28171,31663,Personal loan,19738,3289,3,9867,2,6
3263,NEKOR659722686,Student,4532,181295,Personal loan,3175,176,16,2816,0,18
3264,NEKOR504494687,Police/Military,18489,1132600,Personal loan,17940,747,9,6723,10,24
3265,NEKOR530594121,Househusband/Housewife/Unemployed,6882,162739,Personal loan,4358,484,8,3872,1,9
3266,NEKOR446518914,Business Owner/Personal Business,24863,2942523,Personal loan,12672,2112,6,12672,6,6
3267,NEKOR491330341,Employee,7577,62890,Vehicle loan,7254,2418,3,7254,5,3
3268,NEKOR161684740,Lawyer/Accountant,17047,4043528,Occupational Loans,11918,1324,7,9268,0,9
3269,NEKOR115687534,Business Owner/Personal Business,10366,2058683,Occupational Loans,8569,357,23,8211,4,24
3270,NEKOR696725976,Business Owner/Personal Business,60758,368835,Vehicle loan,10769,897,5,4485,5,12
3271,NEKOR193324944,Politician/Family Member or Close Asscociates,21217,8904632,Personal loan,6733,187,30,5610,2,36
3272,NEKOR968851395,Student,25982,150221,Occupational Loans,19361,806,8,6448,4,24
3273,NEKOR725267777,Tour Guide,3649,2041617,Vehicle loan,3383,281,9,2529,9,12
3274,NEKOR246693144,Retired,18767,7725553,Personal loan,15032,1670,8,13360,8,9
3275,NEKOR020165937,Househusband/Housewife/Unemployed,3433,117089,Occupational Loans,3409,378,4,1512,2,9
3276,NEKOR678543430,Charity Officer,13880,193987,Vehicle loan,12360,1030,3,3090,1,12
3277,NEKOR748957355,Lawyer/Accountant,65358,4117157,Personal loan,16874,1874,4,7496,1,9
3278,NEKOR036269156,Lawyer/Accountant,128374,6010311,Personal loan,83942,27980,3,83940,3,3
3279,NEKOR669892593,Docter/Nurse/Pharmacist,56021,258897,Personal loan,18033,3005,3,9015,8,6
3280,NEKOR730811829,Househusband/Housewife/Unemployed,7074,96197,Vehicle loan,5908,656,9,5904,5,9
3281,NEKOR426634394,Teacher/Instructor,10836,4511970,Occupational Loans,10284,428,6,2568,8,24
3282,NEKOR294201740,Student,32641,24621,Occupational Loans,25535,1063,16,17008,1,24
3283,NEKOR366268234,Police/Military,29498,832597,Personal loan,23512,2612,6,15672,4,9
3284,NEKOR746933106,Politician/Family Member or Close Asscociates,7884,190037,Occupational Loans,5862,651,8,5208,7,9
3285,NEKOR028560413,Police/Military,3406,371317,Personal loan,3110,259,12,3108,10,12
3286,NEKOR357849777,Business Owner/Personal Business,26057,3701017,Vehicle loan,12186,1354,7,9478,9,9
3287,NEKOR786866993,Employee,35468,85855,Personal loan,5760,960,6,5760,5,6
3288,NEKOR844169346,Employee,28174,42047,Vehicle loan,12764,709,9,6381,1,18
3289,NEKOR489725417,Street Vendor,37864,2297614,Occupational Loans,15586,5195,3,15585,3,3
3290,NEKOR487181089,Politician/Family Member or Close Asscociates,18778,7344181,Vehicle loan,6677,370,12,4440,3,18
3291,NEKOR655900793,Docter/Nurse/Pharmacist,26267,1938293,Vehicle loan,21565,1198,16,19168,7,18
3292,NEKOR155850067,Agent/Insurance Broker,22573,212658,Personal loan,9594,1066,8,8528,6,9
3293,NEKOR924642511,Docter/Nurse/Pharmacist,11669,1462700,Occupational Loans,5953,165,6,990,10,36
3294,NEKOR363560432,Other,48649,451788,Personal loan,24691,4115,6,24690,5,6
3295,NEKOR098975090,Student,28468,124447,Occupational Loans,16363,1363,10,13630,4,12
3296,NEKOR649249108,Politician/Family Member or Close Asscociates,14777,8208143,Occupational Loans,5862,244,22,5368,2,24
3297,NEKOR281190112,Judge/Attorney,122352,1025163,Occupational Loans,111343,12371,7,86597,6,9
3298,NEKOR334697274,Lawyer/Accountant,52938,1047709,Occupational Loans,33820,939,29,27231,8,36
3299,NEKOR185245534,Tour Guide,7913,1248492,Vehicle loan,5882,163,32,5216,1,36
3300,NEKOR178040071,Househusband/Housewife/Unemployed,4880,22658,Occupational Loans,3810,635,4,2540,8,6
3301,NEKOR274927003,Tour Guide,3512,4000844,Vehicle loan,3066,85,6,510,10,36
3302,NEKOR965170825,Politician/Family Member or Close Asscociates,3756,4165980,Vehicle loan,3667,101,27,2727,8,36
3303,NEKOR603509635,Househusband/Housewife/Unemployed,3002,50381,Vehicle loan,3000,125,9,1125,8,24
3304,NEKOR749396089,Other,30327,1029821,Occupational Loans,25296,2810,6,16860,9,9
3305,NEKOR295371453,Business Owner/Personal Business,251552,5221513,Vehicle loan,226809,25201,5,126005,4,9
3306,NEKOR965650197,Tour Guide,7429,4584328,Personal loan,6136,1022,5,5110,7,6
3307,NEKOR723480473,Lawyer/Accountant,167734,2689771,Occupational Loans,117523,6529,18,117522,0,18
3308,NEKOR875204548,Street Vendor,40194,821833,Vehicle loan,4577,762,4,3048,10,6
3309,NEKOR445126449,Charity Officer,4228,570581,Personal loan,3987,1329,3,3987,8,3
3310,NEKOR440198378,Lawyer/Accountant,152017,8748111,Occupational Loans,73065,3044,5,15220,0,24
3311,NEKOR864981579,Lawyer/Accountant,4015,6078659,Occupational Loans,3513,292,12,3504,10,12
3312,NEKOR171682627,Employee,21541,14549,Vehicle loan,10932,1214,8,9712,1,9
3313,NEKOR960893606,Employee,41990,197465,Vehicle loan,26210,2184,8,17472,7,12
3314,NEKOR220665038,Retired,15334,5792223,Personal loan,4089,113,17,1921,5,36
3315,NEKOR373734612,Employee,53436,189806,Personal loan,18858,2095,8,16760,3,9
3316,NEKOR108058609,Other,13694,2509430,Personal loan,7818,1303,4,5212,3,6
3317,NEKOR524879056,Tour Guide,58170,60389,Occupational Loans,27531,3059,4,12236,10,9
3318,NEKOR092014757,Retired,27969,3420147,Occupational Loans,14043,1560,4,6240,0,9
3319,NEKOR359051167,Employee,27376,62397,Vehicle loan,18503,3083,3,9249,4,6
3320,NEKOR683570595,Lawyer/Accountant,115235,1543852,Personal loan,112641,4693,5,23465,3,24
3321,NEKOR609291910,Teacher/Instructor,15450,4367330,Vehicle loan,14513,1612,3,4836,4,9
3322,NEKOR142271969,Employee,32656,12338,Occupational Loans,8000,333,5,1665,0,24
3323,NEKOR506887451,Docter/Nurse/Pharmacist,39717,575115,Vehicle loan,22265,1855,5,9275,10,12
3324,NEKOR259161202,Retired,31510,1809361,Vehicle loan,15045,835,3,2505,7,18
3325,NEKOR950239534,Other,3235,224662,Personal loan,3140,87,23,2001,6,36
3326,NEKOR674575355,Lawyer/Accountant,6139,980046,Vehicle loan,5298,441,7,3087,2,12
3327,NEKOR520536129,Judge/Attorney,24188,3168427,Vehicle loan,13953,1550,4,6200,3,9
3328,NEKOR762520991,Charity Officer,13232,748717,Vehicle loan,9185,3061,3,9183,1,3
3329,NEKOR263809344,Tour Guide,3906,3694801,Occupational Loans,3461,1153,3,3459,6,3
3330,NEKOR888605877,Charity Officer,6502,805451,Personal loan,4756,198,18,3564,0,24
3331,NEKOR053943383,Teacher/Instructor,4370,3043594,Personal loan,3547,1182,3,3546,5,3
3332,NEKOR496681955,Employee,8097,127617,Vehicle loan,5448,151,6,906,3,36
3333,NEKOR467416863,Retired,15745,915384,Occupational Loans,6871,190,26,4940,5,36
3334,NEKOR690996605,Business Owner/Personal Business,15489,6798706,Personal loan,7105,789,4,3156,1,9
3335,NEKOR362583273,Employee,26522,143919,Occupational Loans,4345,362,11,3982,3,12
3336,NEKOR539107019,Employee,23693,125912,Personal loan,13700,380,25,9500,1,36
3337,NEKOR732371957,Househusband/Housewife/Unemployed,4871,8198,Occupational Loans,4212,117,27,3159,4,36
3338,NEKOR452178739,Judge/Attorney,26307,986123,Personal loan,15564,1297,9,11673,10,12
3339,NEKOR449040662,Charity Officer,14526,23911,Personal loan,5699,158,20,3160,4,36
3340,NEKOR908932956,Politician/Family Member or Close Asscociates,6272,686365,Personal loan,5845,974,3,2922,8,6
3341,NEKOR322043618,Retired,24623,7538973,Vehicle loan,11087,923,10,9230,9,12
3342,NEKOR198576116,Street Vendor,24189,3091889,Vehicle loan,21764,7254,3,21762,3,3
3343,NEKOR671650367,Business Owner/Personal Business,15709,9448366,Vehicle loan,13361,742,11,8162,1,18
3344,NEKOR447928974,Other,28954,1605863,Occupational Loans,11219,467,7,3269,9,24
3345,NEKOR976782303,Politician/Family Member or Close Asscociates,19092,1830895,Personal loan,4063,112,13,1456,2,36
3346,NEKOR760761035,Lawyer/Accountant,10951,1921129,Vehicle loan,10136,1689,4,6756,1,6
3347,NEKOR220698559,Lawyer/Accountant,67919,9351823,Personal loan,55090,6121,3,18363,0,9
3348,NEKOR370337716,Charity Officer,7093,470786,Personal loan,6466,179,30,5370,8,36
3349,NEKOR646744882,Docter/Nurse/Pharmacist,22343,904277,Personal loan,15623,867,7,6069,4,18
3350,NEKOR719485476,Househusband/Housewife/Unemployed,6118,160734,Occupational Loans,6051,252,11,2772,10,24
3351,NEKOR149400821,Police/Military,14887,1139619,Vehicle loan,9526,793,7,5551,6,12
3352,NEKOR916250795,Student,7376,81158,Occupational Loans,4195,233,3,699,4,18
3353,NEKOR012824154,Judge/Attorney,9484,4199360,Personal loan,5174,1724,3,5172,5,3
3354,NEKOR487177137,Politician/Family Member or Close Asscociates,3451,7851490,Vehicle loan,3020,335,9,3015,2,9
3355,NEKOR508901263,Street Vendor,6127,606793,Personal loan,3829,425,3,1275,4,9
3356,NEKOR135515032,Other,4894,2870515,Personal loan,4048,168,16,2688,9,24
3357,NEKOR833577606,Other,22733,308652,Personal loan,5284,146,3,438,8,36
3358,NEKOR890379403,Tour Guide,3282,454795,Personal loan,3210,133,20,2660,8,24
3359,NEKOR781390954,Tour Guide,22676,276961,Personal loan,17016,5672,3,17016,10,3
3360,NEKOR929547460,Other,18433,4334758,Occupational Loans,17418,483,25,12075,6,36
3361,NEKOR856261252,Employee,36472,101912,Vehicle loan,26544,1474,16,23584,1,18
3362,NEKOR494178259,Other,51945,4710178,Vehicle loan,28162,3129,9,28161,5,9
3363,NEKOR542267294,Street Vendor,13730,1231859,Vehicle loan,9005,1000,7,7000,7,9
3364,NEKOR379095110,Employee,20211,73363,Vehicle loan,16267,1355,3,4065,9,12
3365,NEKOR686677766,Other,52379,730013,Occupational Loans,28747,3194,3,9582,2,9
3366,NEKOR627008644,Student,8573,169465,Personal loan,8256,688,3,2064,9,12
3367,NEKOR724617511,Tour Guide,25943,2020876,Vehicle loan,7853,2617,3,7851,5,3
3368,NEKOR438087845,Tour Guide,30965,3966270,Occupational Loans,12934,2155,5,10775,3,6
3369,NEKOR664560029,Charity Officer,14218,941497,Occupational Loans,12158,1013,9,9117,9,12
3370,NEKOR024131791,Teacher/Instructor,9847,585778,Vehicle loan,8382,698,8,5584,2,12
3371,NEKOR667567272,Judge/Attorney,35508,3773594,Personal loan,5507,305,11,3355,5,18
3372,NEKOR132785896,Politician/Family Member or Close Asscociates,11478,4455080,Vehicle loan,6526,2175,3,6525,9,3
3373,NEKOR948939374,Tour Guide,19012,4248235,Occupational Loans,15292,637,8,5096,8,24
3374,NEKOR175846413,Other,9643,2703805,Occupational Loans,4125,229,13,2977,1,18
3375,NEKOR470844449,Business Owner/Personal Business,139845,2479422,Personal loan,137633,11469,3,34407,4,12
3376,NEKOR330536735,Politician/Family Member or Close Asscociates,12039,3246674,Personal loan,8647,1441,5,7205,10,6
3377,NEKOR825327088,Teacher/Instructor,9760,3898079,Vehicle loan,9463,788,12,9456,3,12
3378,NEKOR041391438,Student,16448,187143,Occupational Loans,10384,432,3,1296,9,24
3379,NEKOR526409874,Politician/Family Member or Close Asscociates,12189,9228045,Occupational Loans,10397,3465,3,10395,4,3
3380,NEKOR901324322,Retired,38967,3258201,Occupational Loans,16206,1350,11,14850,2,12
3381,NEKOR004719859,Street Vendor,20666,4063022,Personal loan,3495,145,10,1450,3,24
3382,NEKOR303499721,Police/Military,6736,133969,Occupational Loans,3160,175,15,2625,4,18
3383,NEKOR537708923,Street Vendor,32701,3008929,Vehicle loan,29827,9942,3,29826,10,3
3384,NEKOR710017505,Docter/Nurse/Pharmacist,76227,1668772,Occupational Loans,33631,11210,3,33630,10,3
3385,NEKOR850508615,Tour Guide,52823,4471975,Occupational Loans,26663,8887,3,26661,4,3
3386,NEKOR866672595,Street Vendor,16376,145561,Occupational Loans,10033,1672,3,5016,6,6
3387,NEKOR600192130,Street Vendor,16167,4218325,Personal loan,10014,278,17,4726,1,36
3388,NEKOR093728735,Street Vendor,21073,1388916,Personal loan,7861,2620,3,7860,2,3
3389,NEKOR192119618,Police/Military,14702,1417169,Vehicle loan,14326,1591,9,14319,9,9
3390,NEKOR241516244,Employee,7967,52736,Occupational Loans,3125,347,7,2429,6,9
3391,NEKOR710701838,Politician/Family Member or Close Asscociates,9762,664367,Personal loan,4112,342,10,3420,3,12
3392,NEKOR344440412,Docter/Nurse/Pharmacist,31476,1333562,Vehicle loan,14480,1206,9,10854,3,12
3393,NEKOR752531794,Charity Officer,22042,821761,Occupational Loans,6425,713,3,2139,1,9
3394,NEKOR077929865,Lawyer/Accountant,10588,663349,Vehicle loan,8456,704,7,4928,7,12
3395,NEKOR563902038,Student,22146,165106,Personal loan,12699,2116,5,10580,1,6
3396,NEKOR939455627,Charity Officer,13605,904660,Personal loan,7420,206,28,5768,1,36
3397,NEKOR699819985,Judge/Attorney,35971,3646655,Vehicle loan,29037,4839,5,24195,4,6
3398,NEKOR233699535,Police/Military,7770,1315994,Personal loan,6329,2109,3,6327,4,3
3399,NEKOR183560010,Student,16898,55546,Occupational Loans,7124,791,3,2373,0,9
3400,NEKOR387801405,Tour Guide,8844,3401740,Occupational Loans,7317,2439,3,7317,8,3
3401,NEKOR969327731,Politician/Family Member or Close Asscociates,28575,300989,Vehicle loan,8334,2778,3,8334,5,3
3402,NEKOR757689468,Agent/Insurance Broker,4413,95084,Occupational Loans,4088,681,4,2724,5,6
3403,NEKOR900615930,Charity Officer,3036,584382,Personal loan,3033,337,5,1685,8,9
3404,NEKOR964895640,Politician/Family Member or Close Asscociates,12546,5910513,Vehicle loan,9831,819,11,9009,4,12
3405,NEKOR553495186,Teacher/Instructor,32748,4043883,Occupational Loans,21636,3606,6,21636,9,6
3406,NEKOR665434104,Docter/Nurse/Pharmacist,12316,511326,Personal loan,8108,450,6,2700,1,18
3407,NEKOR808663738,Other,24211,4596166,Occupational Loans,19264,2140,6,12840,5,9
3408,NEKOR638847131,Retired,20047,5224977,Personal loan,8228,2742,3,8226,10,3
3409,NEKOR772089807,Police/Military,3033,623719,Vehicle loan,3021,83,16,1328,9,36
3410,NEKOR595429185,Househusband/Housewife/Unemployed,8853,63023,Personal loan,7042,293,22,6446,8,24
3411,NEKOR550953237,Other,17529,986819,Personal loan,14892,1241,12,14892,3,12
3412,NEKOR440031044,Employee,22644,108022,Personal loan,5604,233,22,5126,9,24
3413,NEKOR645417548,Employee,8936,53561,Occupational Loans,3824,106,34,3604,6,36
3414,NEKOR584567820,Docter/Nurse/Pharmacist,6209,1275636,Vehicle loan,4113,171,20,3420,3,24
3415,NEKOR878152142,Police/Military,12638,1337438,Personal loan,9124,760,10,7600,0,12
3416,NEKOR531530950,Agent/Insurance Broker,24188,330819,Occupational Loans,10539,878,3,2634,8,12
3417,NEKOR385219426,Business Owner/Personal Business,27201,7821229,Vehicle loan,24350,8116,3,24348,0,3
3418,NEKOR392564925,Tour Guide,56366,874103,Personal loan,20804,2311,3,6933,0,9
3419,NEKOR989117223,Judge/Attorney,47771,1869618,Occupational Loans,33620,3735,5,18675,1,9
3420,NEKOR460290307,Politician/Family Member or Close Asscociates,9143,8039443,Personal loan,6054,2018,3,6054,2,3
3421,NEKOR191697668,Other,76702,2597906,Occupational Loans,73505,8167,8,65336,9,9
3422,NEKOR648885344,Lawyer/Accountant,67002,9575405,Vehicle loan,10571,587,15,8805,2,18
3423,NEKOR700632428,Teacher/Instructor,5196,1657400,Personal loan,5129,142,12,1704,5,36
3424,NEKOR189712764,Teacher/Instructor,4282,3781837,Occupational Loans,3954,439,6,2634,1,9
3425,NEKOR765851823,Street Vendor,58992,4987901,Personal loan,26893,1120,12,13440,3,24
3426,NEKOR913121777,Politician/Family Member or Close Asscociates,8269,4235295,Vehicle loan,5851,487,10,4870,6,12
3427,NEKOR098301638,Teacher/Instructor,13858,1091018,Vehicle loan,12102,4034,3,12102,7,3
3428,NEKOR423547951,Tour Guide,10112,43708,Vehicle loan,3926,654,3,1962,6,6
3429,NEKOR982898257,Judge/Attorney,59066,848150,Occupational Loans,57383,3187,15,47805,1,18
3430,NEKOR932439638,Employee,19530,49608,Vehicle loan,7424,309,12,3708,0,24
3431,NEKOR231210516,Student,5426,163249,Occupational Loans,4482,498,9,4482,2,9
3432,NEKOR616270256,Tour Guide,16387,2231541,Personal loan,8453,704,12,8448,6,12
3433,NEKOR367225049,Lawyer/Accountant,19294,5061572,Vehicle loan,9405,261,10,2610,8,36
3434,NEKOR661067771,Charity Officer,14697,102494,Personal loan,10502,437,6,2622,1,24
3435,NEKOR309715959,Househusband/Housewife/Unemployed,4052,47108,Vehicle loan,3375,93,14,1302,8,36
3436,NEKOR753153021,Agent/Insurance Broker,15294,287524,Vehicle loan,14571,4857,3,14571,0,3
3437,NEKOR373716033,Politician/Family Member or Close Asscociates,17058,1022521,Vehicle loan,3803,105,25,2625,4,36
3438,NEKOR173146890,Charity Officer,10609,611973,Occupational Loans,7394,1232,4,4928,4,6
3439,NEKOR137143292,Househusband/Housewife/Unemployed,8966,92543,Occupational Loans,3922,163,22,3586,5,24
3440,NEKOR925636731,Docter/Nurse/Pharmacist,41340,1376208,Vehicle loan,31773,2647,3,7941,0,12
3441,NEKOR621355880,Business Owner/Personal Business,116021,2338216,Occupational Loans,15615,2602,6,15612,9,6
3442,NEKOR293555887,Judge/Attorney,15885,506483,Personal loan,9534,794,3,2382,1,12
3443,NEKOR593682579,Employee,5707,189240,Personal loan,4378,1459,3,4377,2,3
3444,NEKOR668225713,Judge/Attorney,6001,1068453,Vehicle loan,4308,718,3,2154,10,6
